rank,title,domestic_gross,boxoffice_open,boxoffice_close,distributor,estimated,budget,wikipedia_title,wikidata_id,wikidata_title,wikidata_release_date,wikidata_box_office,wikidata_letterboxd_slug,letterboxd_avg,letterboxd_ratings,letterboxd_slug,oscar_status,domestic_gross_percentile,budget_percentile,letterboxd_avg_percentile,letterboxd_ratings_percentile
31.0,One Battle After Another,72918884.0,Sep 26,-,Warner Bros.,False,152500000.0,One Battle After Another,Q117085614,One Battle After Another,2025-09-26T00:00:00Z,209586604.0,one-battle-after-another,4.14,2694643.0,film/one-battle-after-another,winner,84.75,89.17525773195877,96.28571428571429,97.42857142857143
84.0,Bugonia,17692390.0,Oct 24,-,Focus Features,False,55000000.0,,Q125971387,Bugonia,2025-11-07T00:00:00Z,,bugonia,3.84,1876623.0,film/bugonia,nominee,58.25,61.34020618556701,87.71428571428571,94.57142857142857
14.0,F1: The Movie,189642436.0,Jun 27,-,Warner Bros.,False,250000000.0,F1 (film),Q114246242,F1,2025-06-27T00:00:00Z,,f1,3.64,1922247.0,film/f1-the-movie,nominee,93.25,96.3917525773196,82.57142857142857,95.14285714285714
,Frankenstein,,,,,,,,,,,,,,,,winner,,,,
65.0,Hamnet,24208900.0,Nov 26,-,Focus Features,False,32500000.0,Hamnet (film),Q122741016,Hamnet,2025-11-27T00:00:00Z,,hamnet,4.19,1564322.0,film/hamnet,nominee,67.75,39.69072164948454,97.42857142857143,92.28571428571429
22.0,Marty Supreme,96040064.0,Dec 19,-,A24,False,65000000.0,Marty Supreme,Q130118681,Marty Supreme,2025-12-25T00:00:00Z,28000000.0,marty-supreme,4.05,2809976.0,film/marty-supreme,nominee,89.25,67.52577319587628,93.42857142857143,98.0
139.0,The Secret Agent,4282051.0,Nov 26,-,Neon,False,27000000.0,,Q132531438,The Secret Agent,2025-12-17T00:00:00Z,,the-secret-agent-2025,3.81,631546.0,film/the-secret-agent-2025,nominee,30.75,33.50515463917526,86.0,78.57142857142857
129.0,Sentimental Value,5338580.0,Nov 7,-,Neon,False,7800000.0,,Q130284179,Sentimental Value,2025-12-26T00:00:00Z,,sentimental-value-2025,4.15,965709.0,film/sentimental-value-2025,winner,35.75,3.6082474226804124,96.85714285714286,85.42857142857143
8.0,Sinners,279989632.0,Apr 18,Jul 18,Warner Bros.,False,95000000.0,Sinners (2025 film),Q125473145,Sinners,2025-04-18T00:00:00Z,,sinners-2025,4.1,4496230.0,film/sinners-2025,winner,96.25,75.77319587628865,95.14285714285714,99.71428571428571
,Train Dreams,,,,,,,,,,,,,,,,nominee,,,,
173.0,Blue Moon,2170688.0,Oct 17,-,Sony Pictures Classics,False,,,Q127118129,Blue Moon,2025-11-06T00:00:00Z,,blue-moon-2025,3.58,179256.0,film/blue-moon-2025,nominee,13.75,,81.42857142857143,48.285714285714285
188.0,It Was Just an Accident,1773664.0,Oct 15,-,Neon,False,,,Q133866932,It Was Just an Accident,2025-10-01T00:00:00Z,9710654.0,it-was-just-an-accident,3.97,324886.0,film/it-was-just-an-accident,nominee,6.25,,91.71428571428571,62.0
64.0,KPop Demon Hunters,24300000.0,Aug 23,-,Netflix,True,100000000.0,KPop Demon Hunters,Q130268157,KPop Demon Hunters,2025-06-20T00:00:00Z,,kpop-demon-hunters,3.54,1825428.0,film/kpop-demon-hunters,winner,68.25,77.83505154639175,77.42857142857143,93.42857142857143
4.0,Avatar: Fire and Ash,404340010.0,Dec 19,Apr 16,20th Century Studios,False,375000000.0,Avatar: Fire and Ash,Q29580929,Avatar: Fire and Ash,2025-12-19T00:00:00Z,,avatar-fire-and-ash,3.55,1471761.0,film/avatar-fire-and-ash,nominee,98.25,99.48453608247422,78.0,90.0
30.0,Elio,72987454.0,Jun 20,Sep 11,Walt Disney Studios Motion Pictures,False,150000000.0,Elio (film),Q113879962,Elio,2025-06-25T00:00:00Z,,elio,3.31,294313.0,film/elio,nominee,85.25,87.11340206185567,59.142857142857146,59.142857142857146
,Arco,,,,,,,,,,,,,,,,nominee,,,,
